Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7n,C_0603_1608Metric,-44.1,-28.8,90,bottom
C2,22pF,C_0603_1608Metric,-59.75,-56.45,180,bottom
C3,1uF,C_0603_1608Metric,-48.2,-53.9,90,bottom
C4,22pF,C_0603_1608Metric,-59.6,-62.5,180,bottom
C5,0.1uF,C_0603_1608Metric,-54.05,-53.9,90,bottom
C6,0.1uF,C_0603_1608Metric,-59.7,-64.35,0,bottom
C7,10uF,C_0603_1608Metric,-52,-53.9,90,bottom
D1,D_Small,SOD-123,-41.2724,-34.1291,90,bottom
D2,D_Small,SOD-123,-65.0834,-34.1291,90,bottom
D3,D_Small,SOD-123,-84.1322,-34.1291,90,bottom
D4,D_Small,SOD-123,-103.181,-34.1291,90,bottom
D5,D_Small,SOD-123,-122.2298,-34.1291,90,bottom
D6,D_Small,SOD-123,-141.2786,-34.1291,90,bottom
D7,D_Small,SOD-123,-160.3274,-34.1291,90,bottom
D8,D_Small,SOD-123,-179.3762,-34.1291,90,bottom
D9,D_Small,SOD-123,-198.425,-34.1291,90,bottom
D10,D_Small,SOD-123,-217.4738,-34.1291,90,bottom
D11,D_Small,SOD-123,-236.5226,-34.1291,90,bottom
D12,D_Small,SOD-123,-255.5714,-34.1291,90,bottom
D13,D_Small,SOD-123,-279.3824,-34.1291,90,bottom
D14,D_Small,SOD-123,-41.2724,-53.1779,90,bottom
D15,D_Small,SOD-123,-65.0834,-53.1779,90,bottom
D16,D_Small,SOD-123,-84.1322,-53.1779,90,bottom
D17,D_Small,SOD-123,-103.181,-53.1779,90,bottom
D18,D_Small,SOD-123,-122.2298,-53.1779,90,bottom
D19,D_Small,SOD-123,-141.2786,-53.1779,90,bottom
D20,D_Small,SOD-123,-160.3274,-53.1779,90,bottom
D21,D_Small,SOD-123,-179.3762,-53.1779,90,bottom
D22,D_Small,SOD-123,-198.425,-53.1779,90,bottom
D23,D_Small,SOD-123,-217.4738,-53.1779,90,bottom
D24,D_Small,SOD-123,-236.5226,-53.1779,90,bottom
D25,D_Small,SOD-123,-255.5714,-53.1779,90,bottom
D26,D_Small,SOD-123,-279.3824,-53.1779,90,bottom
D27,D_Small,SOD-123,-41.2724,-72.2267,90,bottom
D28,D_Small,SOD-123,-65.0834,-72.2267,90,bottom
D29,D_Small,SOD-123,-84.1322,-72.2267,90,bottom
D30,D_Small,SOD-123,-103.181,-72.2267,90,bottom
D31,D_Small,SOD-123,-122.2298,-72.2267,90,bottom
D32,D_Small,SOD-123,-141.2786,-72.2267,90,bottom
D33,D_Small,SOD-123,-160.3274,-72.2267,90,bottom
D34,D_Small,SOD-123,-179.3762,-72.2267,90,bottom
D35,D_Small,SOD-123,-198.425,-72.2267,90,bottom
D36,D_Small,SOD-123,-217.4738,-72.2267,90,bottom
D37,D_Small,SOD-123,-236.5226,-72.2267,90,bottom
D38,D_Small,SOD-123,-255.5714,-72.2267,90,bottom
D39,D_Small,SOD-123,-279.3824,-72.2267,90,bottom
D40,D_Small,SOD-123,-36.5102,-91.2755,90,bottom
D41,D_Small,SOD-123,-55.559,-91.2755,90,bottom
D42,D_Small,SOD-123,-79.37,-91.2755,90,bottom
D43,D_Small,SOD-123,-89,-94.5,-90,bottom
D45,D_Small,SOD-123,-131.7542,-91.2755,90,bottom
D46,D_Small,SOD-123,-160.3274,-91.2755,90,bottom
D47,D_Small,SOD-123,-188.9006,-91.2755,90,bottom
D49,D_Small,SOD-123,-227.7,-94.6,-90,bottom
D50,D_Small,SOD-123,-246.047,-91.2755,90,bottom
D51,D_Small,SOD-123,-265.0958,-91.2755,90,bottom
D52,D_Small,SOD-123,-284.1446,-91.2755,90,bottom
F1,500mA,Fuse_1206_3216Metric,-53.9716,-33.3354,90,bottom
R1,10k,R_0603_1608Metric,-42.65,-59.1,0,bottom
R2,22,R_0603_1608Metric,-48.9,-37.3,90,bottom
R3,22,R_0603_1608Metric,-51.1,-37.3039,90,bottom
R4,10k,R_0603_1608Metric,-49.6,-69.75,90,bottom
R5,5k1,R_0603_1608Metric,-56.6,-25.95,0,bottom
R6,5k1,R_0603_1608Metric,-45.45,-33.3354,-90,bottom
R7,1M,R_0603_1608Metric,-44.1,-25.8,90,bottom
SW1,SW_Push,PinHeader_1x02_P2.54mm_Vertical,-248.9094,-45.2409,90,bottom
U1,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,-50.0031,-61.9086,180,bottom
U2,PRTR5V0U2X,SOT-143,-50.0031,-33.3354,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-59.7,-59.5,-90,bottom
SW2,RotaryEncoder_Switch,RotaryEncoder_EC11-no-legs,157.1526,-33.3354,90,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,50.0031,-21.3134,180,top
